run,camCol,rerun,field,objID,u,g,r,i,z,ra,dec
1740,1,301,135,1237652946385568252,24.36031,24.62483,25.35592,23.27734,20.67389,17.1934402364801,-10.6911206466965
1740,1,301,136,1237652946385633834,22.16083,25.68004,25.20875,24.49739,23.691,17.3970829152947,-10.6273368087448
1740,1,301,17,1237652946377834848,24.1015,23.89212,23.92266,22.11105,21.47609,359.222800068367,-10.8221460364986
1740,1,301,21,1237652946378096690,22.03537,24.98132,25.18264,24.51393,23.24009,359.844898887521,-10.8871096091564
1740,1,301,22,1237652946378162379,24.39124,25.81137,25.29219,24.13986,20.58651,0.0298046793426749,-10.9957510212663
1740,1,301,24,1237652946378293725,24.26277,25.4666,25.11264,24.44531,20.55593,0.332676541055889,-10.8441312176021
1740,1,301,46,1237652946379735096,22.16471,24.02942,23.38114,22.96429,21.61611,3.64987269942129,-10.852790195393
1740,1,301,52,1237652946380128755,23.35854,25.17791,25.3686,24.15038,20.29403,4.61708500539886,-10.8638903867693
1740,1,301,57,1237652946380455990,22.14834,25.08222,24.80666,23.81612,23.03244,5.36888267820636,-10.8552789064122
1740,1,301,57,1237652946380456407,23.53604,24.90893,24.73093,23.47022,20.47303,5.3705380433142,-10.8755624051136
1740,1,301,76,1237652946381701544,25.22152,25.23796,24.98855,23.3495,20.40722,8.19156669361996,-10.9975361665627
1740,1,301,91,1237652946382684257,25.11562,25.24218,24.73919,22.02107,21.1284,10.465747828632,-10.8271256483457
1740,1,301,95,1237652946382946533,21.72404,25.71544,25.0742,23.36345,22.69816,11.0618357393783,-10.9405899447144
1740,1,301,106,1237652946383667264,24.70685,24.85784,25.77403,23.34611,20.38278,12.7537804351468,-10.9037579998788
1740,1,301,120,1237652946384585134,25.61543,25.28976,25.204,23.18022,20.28004,14.9285367918794,-10.7392292741534
1740,1,301,143,1237652946386092144,21.96855,24.75937,24.24992,23.59472,21.83669,18.4078324040887,-10.585633461043
1740,1,301,20,1237652946378031524,25.08467,25.12296,24.87443,23.98485,20.24356,359.709101762449,-10.838851474885
1740,1,301,43,1237652946379538617,24.68711,25.33258,25.21478,23.61659,20.76184,3.154845066202,-11.0274246742379
1740,1,301,48,1237652946379866212,25.06892,25.1144,24.80204,24.36179,20.34355,3.97869768687023,-10.9103641947673
1740,1,301,129,1237652946385174562,21.892,25.94414,25.42974,24.35856,23.47509,16.2618537586166,-10.6593178803073
1740,1,301,133,1237652946385436717,21.98875,24.16342,24.868,23.77247,23.08882,16.9282974371857,-10.7153022382306
1740,1,301,147,1237652946386354222,21.9292,24.82401,24.79977,24.31412,23.75032,19.0424644660438,-10.6042374902673
1740,1,301,148,1237652946386419752,22.05559,24.38619,24.60021,23.9181,21.89985,19.1413622896605,-10.5588431376211
1740,1,301,51,1237652946380062789,22.13697,25.04593,24.66982,23.82367,21.50461,4.35119989536499,-10.9935199611942
1740,1,301,51,1237652946380062790,22.06388,24.59568,24.29409,23.32314,21.34641,4.35279601779209,-11.0011583014498
1740,1,301,40,1237652946379341981,21.8955,25.39259,24.81269,24.36098,23.87728,2.7740844195777,-10.8857135625562
1740,1,301,72,1237652946381439026,24.97518,25.11357,24.80332,22.74282,20.56059,7.63352893804026,-10.9675812427761
1740,1,301,77,1237652946381766691,22.58867,25.11437,24.80202,24.22573,22.82689,8.39107302474942,-10.9770263110517
1740,1,301,106,1237652946383667227,23.39595,23.01115,24.80202,24.3618,21.93769,12.7200518619043,-10.8717887154294
1740,1,301,12,1237652946377506872,22.30547,25.11437,24.8022,24.36204,22.39672,358.484363086106,-10.8366186494969
1740,1,301,39,1237652946379276349,22.5059,22.62193,24.80202,24.36179,20.27983,2.61938614447463,-10.9827519214541
1740,1,301,115,1237652946384257149,22.54555,23.38369,24.80202,24.3618,20.75562,14.1586374915021,-10.7767386666208
1740,1,301,124,1237652946384846943,22.13571,25.82146,25.48373,24.87899,22.80445,15.5587319285575,-10.8297475291867
1740,1,301,100,1237652946383274075,21.92193,24.16614,25.12762,24.1062,22.38132,11.9337757577865,-10.9301319991155
1740,1,301,11,1237652946377441321,21.68908,25.11438,24.80202,22.86544,21.38218,358.230722076531,-10.8248637908259
1740,1,301,44,1237652946379604151,21.91948,24.57288,24.87012,24.37848,22.33402,3.37647278428804,-10.9147603178059
1740,1,301,142,1237652946386026644,22.14992,25.11485,24.80277,24.36201,22.82695,18.2506396904733,-10.6348257593941
1740,1,301,48,1237652946379866339,21.83146,25.74691,25.38876,24.96946,24.06103,3.87719466027126,-10.8517520816831
1740,1,301,109,1237652946383864032,21.80612,26.82784,26.54415,25.49491,22.56549,13.248877528681,-10.8075094625547
1740,1,301,117,1237652946384388885,25.21953,24.82289,26.05565,25.62881,20.2369,14.527220604932,-10.798563146252
1740,1,301,148,1237652946386420109,24.57443,24.86463,25.45292,24.69377,20.16016,19.1438235260919,-10.5928247882942
1740,1,301,60,1237652946380652731,22.12025,25.33212,25.17023,23.9852,23.32836,5.71601362846211,-10.9245929848816
1740,1,301,73,1237652946381504806,21.88151,24.1573,24.75337,24.25877,23.06974,7.82296748220814,-10.9822667614572
1740,1,301,112,1237652946384060466,21.83131,23.63798,24.80198,24.36173,22.8269,13.6579469585063,-10.9256965053716
1740,1,301,131,1237652946385305797,22.10067,25.97185,25.45845,24.81083,22.64766,16.5693706490581,-10.6566235062821
1740,1,301,149,1237652946386485363,22.11697,25.31354,24.93491,23.73381,22.85391,19.2692920962725,-10.735281598655
1740,1,301,153,1237652946386747662,21.9474,24.62952,24.33833,22.9998,22.47861,19.9666617209391,-10.5656328080242
1740,1,301,42,1237652946379472966,21.9037,24.09224,23.55464,23.04376,22.48233,2.97842006267231,-10.9028472712292
1740,1,301,76,1237652946381701205,24.01853,25.25056,25.29871,24.59165,20.68874,8.16614574663643,-10.8772725804853
1740,1,301,82,1237652946382094592,24.30349,24.50533,25.1797,23.6316,19.6482,9.15306300710385,-10.8887756115548
1740,1,301,88,1237652946382487647,22.12695,24.05136,24.81759,24.13921,21.7354,10.0724948618394,-10.9558382256974
1740,1,301,93,1237652946382815387,23.9822,24.3733,25.66257,24.2361,20.15002,10.7571224861974,-10.9572740332921
1740,1,301,15,1237652946377704019,24.91017,25.25108,24.72334,24.10901,19.66036,358.898749896986,-10.9826098543841
1740,1,301,28,1237652946378555593,21.32285,23.11559,23.25886,22.12831,21.09289,0.83430691010463,-10.9695989268204
1740,1,301,147,1237652946386354182,15.01148,15.2148,14.88675,13.8758,13.19022,18.9539477904655,-10.6263084194899
1740,1,301,15,1237652946377703484,24.47046,24.54098,25.43042,23.52248,22.41061,358.922467201589,-10.7914629369992
1740,1,301,53,1237652946380193813,15.35279,15.08682,15.19109,14.58405,13.11677,4.69411777090818,-10.9533865318601
1740,1,301,25,1237652946378358848,15.09838,15.2474,14.84115,14.43508,13.3569,0.488028284859652,-10.8627537392507
1740,1,301,21,1237652946378096712,24.32505,25.18473,24.61785,22.51648,20.80749,359.862205568412,-10.9329755437944
7712,5,301,50,1237678598072173622,22.85561,22.74703,22.61369,21.748,21.12098,318.083164850258,2.43880123713728
7712,5,301,124,1237678598077022885,22.32719,22.61514,22.50866,22.05125,21.46014,329.159776902309,2.78104955377556
8100,2,301,127,1237680262913917659,24.62201,24.55591,24.73285,23.67169,20.42159,330.957632325117,-6.84604165016996
8100,2,301,346,1237680262928269636,22.55485,22.81647,22.83216,22.3374,21.56988,3.94905743383238,-8.03212728361255
8100,2,301,364,1237680262929449480,23.02803,23.54403,22.90077,21.40241,20.86161,6.63809903051501,-8.08323805313545
8100,2,301,45,1237680262908543983,22.17344,23.37341,23.49023,21.28629,20.27533,318.710713580614,-5.62836752558604
8100,2,301,63,1237680262909723791,23.46083,23.80482,23.28777,21.52409,20.89018,321.343918179349,-5.8780251909905
8100,2,301,78,1237680262910706350,22.90093,22.82946,24.88723,23.40356,21.44064,323.547052000447,-6.16165599516962
8100,2,301,81,1237680262910903501,24.27124,24.89324,24.27117,21.70098,20.45664,324.021737361506,-6.24693838502679
8100,2,301,82,1237680262910969088,23.86772,23.53098,22.89693,21.26933,20.33449,324.175736299418,-6.17641956778578
8100,2,301,82,1237680262910969093,23.41095,23.38214,23.94341,21.50547,20.97102,324.177938870404,-6.20469117807783
8100,2,301,84,1237680262911100152,23.86502,24.16444,23.49513,21.81028,20.65583,324.423695652693,-6.21917303562686
8100,2,301,92,1237680262911624372,23.63031,24.72851,24.76233,21.68994,21.06634,325.619815373727,-6.31990345660945
8100,2,301,98,1237680262912016948,22.77073,22.83282,24.40081,22.30967,21.65748,326.5182729451,-6.35798165895282
8100,2,301,127,1237680262913918045,23.74032,23.87588,23.57328,21.63669,20.77721,330.987850453891,-6.74073160477804
8100,2,301,128,1237680262913983420,23.0931,23.68148,23.2827,21.57623,20.97053,331.065051435099,-6.70592765126658
8100,2,301,140,1237680262914769904,23.07356,23.01827,22.7264,20.90411,19.75437,332.848592963711,-6.92596493275476
8100,2,301,148,1237680262915294000,22.76559,23.26516,23.14922,21.74062,21.01472,334.066013752341,-7.00285021637632
8100,2,301,161,1237680262916145939,22.8947,23.05684,22.76249,21.68284,20.98292,335.999490815126,-7.03024720715418
8100,2,301,161,1237680262916145942,22.33927,23.43366,23.57491,21.6805,21.23089,336.002662255099,-7.0806549463962
8100,2,301,179,1237680262917325357,23.19193,22.94665,23.83239,22.89945,21.98917,338.819924783017,-7.26351823711139
8100,2,301,181,1237680262917456629,23.40271,23.44445,22.88824,21.33789,20.67761,339.075058554026,-7.31270968888937
8100,2,301,194,1237680262918308082,21.44283,26.03619,26.13316,24.44106,22.90174,341.027471043079,-7.47915872634185
8100,2,301,222,1237680262920143595,23.46372,24.01582,23.50302,21.53579,20.63434,345.240107275097,-7.58862525190746
8100,2,301,256,1237680262922371387,22.41542,22.71753,23.80973,23.21336,22.49767,350.32584299426,-7.71818428178307
8100,2,301,256,1237680262922371982,22.46398,23.06546,22.96407,22.0961,21.6194,350.424429392283,-7.8452472081957
8100,2,301,262,1237680262922765158,22.82699,23.33358,22.90326,20.7392,19.86783,351.324489790205,-7.73761925929618
8100,2,301,266,1237680262923026666,21.7039,24.58497,24.96834,22.69861,22.17343,351.94355746735,-7.9019508734968
8100,2,301,279,1237680262923878890,23.018,23.0906,23.12098,22.41576,21.59446,353.888426035073,-7.88752489395749
8100,2,301,280,1237680262923944360,22.87229,22.76513,22.80886,22.16445,21.71077,354.023590845612,-7.79899646990817
8100,2,301,290,1237680262924600194,22.8328,23.73862,23.09944,21.8267,20.97268,355.498299942869,-7.86947408894401
8100,2,301,297,1237680262925058917,23.87307,23.68131,23.34382,21.79541,20.78212,356.515345950569,-7.93103470172173
8100,2,301,310,1237680262925910289,21.57616,24.60717,24.19509,23.6705,22.40561,358.569455215594,-8.07647463213244
8100,2,301,315,1237680262926238524,22.39934,23.01365,22.60804,21.651,20.96172,359.341976883349,-7.98740038592392
8100,2,301,316,1237680262926303932,22.89697,23.81903,23.43751,21.95597,21.51682,359.37353282578,-8.03050929951561
8100,2,301,70,1237680262910182171,22.60669,22.76992,22.83699,22.32918,21.4524,322.415651767337,-6.02615974468
7773,2,301,396,1237678858477240852,22.99848,22.73632,22.24735,21.693,20.70643,13.1483613098845,11.7750789880124
7773,2,301,407,1237678858477961634,22.54875,23.10759,22.55706,21.8911,20.90969,14.8055555773622,11.8448456532793
7773,2,301,437,1237678858479927587,21.91162,22.29986,22.17209,21.69503,20.9497,19.4075146087378,11.6440128809024
3926,2,301,206,1237662335725601668,22.44128,25.22262,26.05081,24.95553,23.97625,253.645189455518,20.5812539679571
3926,2,301,206,1237662335725601688,22.23723,25.09116,24.80213,23.87362,22.46467,253.668831290069,20.5599477517727
3926,2,301,206,1237662335725601705,22.39295,26.2396,25.65518,25.08504,22.66987,253.679432764448,20.5505367498334
3926,2,301,207,1237662335725667230,22.61422,25.39222,25.40635,24.3785,23.76363,253.751598476091,20.4870302090943
